StressLevel,SleepHours,Workload,ManagerSupport,WorkLifeBalance,PhysicalActivity,BurnoutRisk,Productivity
2,0,4,8,10,2,0,61.26559425656313
4,8,9,0,6,4,1,56.60699248915961
2,7,8,7,5,9,1,59.64531275064317
0,0,2,1,5,3,0,56.45962045514637
4,5,3,7,4,3,0,61.05845883018965
9,4,8,2,5,3,1,40.732025719351924
6,5,9,5,8,9,1,54.685481927319785
6,9,10,2,9,7,1,57.68087552619959
10,4,5,6,8,5,1,38.93008235291323
8,5,1,9,9,2,1,67.53362023622498
9,4,6,8,7,9,1,53.39469300060975
9,10,1,1,9,4,1,64.40769281294665
2,4,10,4,8,5,1,54.78298162910914
6,3,1,5,9,4,0,60.791755021427385
0,2,10,3,7,5,1,45.17607896636737
3,2,0,3,7,7,0,52.41451307506875
3,3,10,3,0,6,1,33.27215285675762
4,8,10,1,9,4,1,65.69054936819197
6,1,10,3,10,9,1,36.071744119546636
6,8,2,10,4,5,0,60.40304886954628
10,0,5,0,3,3,1,28.263246803645416
3,0,7,5,1,8,0,44.37730004341323
6,4,8,0,7,3,1,46.43662195076071
10,5,6,9,2,0,1,47.45489251853391
2,5,3,5,3,6,0,65.92800757233475
5,2,5,0,6,6,0,51.40108567420996
1,6,4,5,9,3,0,67.37263253968942
9,8,7,9,8,2,1,53.780746472881404
8,10,0,7,1,7,1,60.227067302235355
4,9,0,10,2,4,0,76.0711520675301
5,7,10,1,3,9,1,48.26711209912584
3,5,5,1,9,6,0,59.94034183873117
10,7,9,3,0,3,1,34.743459763546085
9,4,1,10,6,3,1,51.30346035667639
6,7,4,2,1,7,0,45.5340658638179
8,9,0,3,4,7,1,52.12171183568981
6,3,6,6,0,1,0,48.05622894660772
0,9,0,10,2,1,0,93.32823246442867
0,7,3,0,1,2,0,63.69783363620191
8,9,8,5,0,2,1,40.166069771302276
10,1,0,2,6,0,1,49.61011246807895
8,4,3,10,4,2,1,55.13372544987395
3,8,5,9,0,5,0,58.42770359623669
8,3,5,6,5,7,1,41.17797872694154
2,10,7,9,4,9,0,69.54921682204082
6,5,0,1,2,5,0,52.14789260242353
5,0,6,1,6,4,0,37.09327894174104
7,8,0,3,10,3,1,61.43665790914486
10,0,6,0,9,2,1,36.06658204592821
8,4,2,2,8,3,1,50.246970402815776
4,3,10,8,8,6,1,48.03123071864674
0,2,7,6,8,0,0,65.55151180991382
2,5,2,6,1,6,0,56.68296905866735
9,1,0,10,2,0,1,43.25554908212743
7,2,7,3,6,1,1,45.46243723299369
10,4,2,1,4,3,1,50.156939247751694
5,8,1,3,1,0,0,57.589519906743014
7,1,0,5,2,10,1,47.67014996041427
8,9,2,10,9,10,1,68.46667642739548
3,7,1,10,5,10,0,77.22746275121698
0,1,1,2,6,8,0,58.02147368134402
0,10,5,0,8,5,0,70.089357799825
9,4,0,7,0,0,1,52.54629193798621
3,6,1,4,10,0,0,66.70927260984577
6,7,5,4,6,5,0,54.39094330383717
1,0,2,10,7,3,0,58.78109289110912
2,5,3,3,2,3,0,55.72506357943357
0,0,0,5,3,10,0,60.632829645415
4,1,7,2,9,5,0,46.344912125305385
0,0,6,8,5,10,0,58.397882701816044
7,10,6,4,9,6,1,66.51961375368428
0,4,2,2,6,8,0,56.90166740363341
10,9,9,10,3,9,1,42.96861485024852
0,8,9,0,7,4,1,60.8447896819626
1,5,2,9,4,8,0,62.505193614972924
1,10,1,5,0,3,0,74.61650106052497
5,10,0,1,3,9,0,59.19853530205052
6,0,6,2,2,1,0,40.4640732045859
4,0,6,0,8,2,0,42.05226203863889
0,1,1,8,7,10,0,69.5042199014347
0,8,6,7,0,0,0,71.8386043856959
2,2,7,1,10,5,0,45.582989967145245
1,0,0,10,5,5,0,64.63295182956095
4,4,8,7,8,0,1,49.39272583172445
9,6,6,8,6,10,1,48.07480386825504
5,5,2,0,3,2,0,50.30557804683694
6,0,7,4,0,4,0,33.8697593599686
3,4,6,7,1,2,0,57.70710842683772
6,4,10,10,4,9,1,38.6763797654963
10,5,7,1,10,2,1,40.04068506768354
7,2,5,3,4,9,1,34.75917734404599
10,4,8,6,7,2,1,39.9735645425595
0,6,4,2,5,4,0,75.4708179006352
5,4,2,4,7,4,0,60.25930881000008
7,4,2,7,1,3,1,56.597324855741235
4,4,0,9,2,0,0,75.70345636080523
3,9,7,2,5,4,0,64.03679121587379
1,9,1,3,9,9,0,77.26042760156508
5,2,2,8,2,4,0,48.42083956715031
5,0,7,6,5,3,0,42.249278652395745
10,4,7,0,5,5,1,28.56147107890657
0,8,10,3,1,9,1,46.077393566904135
8,0,3,3,6,3,1,41.50462498644735
10,2,3,8,1,6,1,43.12943149029667
5,3,4,5,5,6,0,61.14558350131643
2,0,5,8,0,1,0,47.19118465581593
3,0,4,5,2,2,0,48.10060694484724
10,7,6,5,1,0,1,38.57257292654893
3,1,1,4,6,7,0,61.765847153467334
2,7,6,4,3,8,0,58.17691101904935
9,6,9,1,7,3,1,31.83704195573629
2,9,6,7,5,5,0,69.63264089167421
2,9,0,7,9,8,0,87.252614487825
3,1,6,10,3,5,0,55.07636693706781
6,5,4,0,4,8,0,50.829483577479344
3,5,2,7,8,3,0,63.259718139796554
8,2,2,4,6,7,1,43.38628704992529
0,10,3,1,9,8,0,80.09893665897768
7,1,1,1,8,3,1,43.673655110194645
6,0,1,5,6,4,0,52.10235624665104
1,5,0,10,0,7,0,60.90127376294119
7,4,4,8,7,9,1,70.77973286156441
0,10,3,0,3,5,0,66.8514073422133
10,8,10,5,2,6,1,43.869781299941394
8,0,9,8,6,2,1,35.31551087208254
8,6,1,7,2,6,1,59.17349264365444
1,4,2,10,7,7,0,83.25959823172637
6,4,6,5,5,9,0,54.52903009604193
9,1,6,2,4,5,1,29.977725101573874
2,10,3,7,3,9,0,74.02372837303153
6,2,4,8,7,8,0,60.217832800916426
9,6,4,0,7,5,1,56.86622202142651
8,5,5,8,0,8,1,47.96141337199521
3,1,8,5,8,3,1,58.4853182027082
0,5,1,5,4,7,0,69.29292794789897
1,1,4,3,3,10,0,55.65980181754901
0,1,2,0,5,3,0,59.90577881123643
4,1,3,9,5,1,0,56.05019748073613
4,10,9,7,1,9,1,53.76460960349179
10,2,5,1,7,10,1,40.62694594273676
6,1,7,0,6,8,0,31.94221531378472
8,3,0,1,0,4,1,37.02825043662298
8,8,9,0,4,3,1,35.18020249100451
2,5,7,0,5,1,0,46.72193330787294
2,0,10,8,3,0,1,47.88308552312838
2,7,6,0,1,10,0,52.97521336638094
3,6,0,3,3,6,0,67.67829122378944
7,9,1,9,0,5,1,67.80689905549042
5,2,2,5,6,1,0,52.13079918876681
7,0,0,6,1,7,1,49.685514279541366
0,4,8,1,1,10,1,52.212269133026524
7,3,7,5,8,3,1,49.42251608059654
3,9,1,6,4,7,0,76.24827953312925
10,7,8,9,1,6,1,40.46472746714662
0,0,6,9,10,4,0,65.75908539487239
7,9,8,1,8,9,1,46.59879335275649
3,0,5,1,8,9,0,45.979860709596984
5,3,5,9,0,7,0,42.29866680387342
7,7,10,6,10,8,1,44.837207985039534
3,4,3,0,2,4,0,48.04476155026485
2,1,9,7,3,9,1,43.157801640865046
8,5,9,10,6,4,1,50.533935967370866
2,4,1,2,9,1,0,65.32615710442441
8,1,6,10,3,4,1,43.95095393605077
1,10,4,5,1,2,0,72.5430372117837
1,10,10,8,6,6,1,66.88365522169585
1,10,5,5,5,9,0,71.40278094177569
5,2,1,8,2,4,0,63.875106113815825
2,8,4,6,5,7,0,69.81542063412513
8,6,9,8,10,0,1,52.903947626873055
3,6,3,1,5,2,0,58.51256349661595
0,10,8,7,4,2,1,70.09317813495234
3,5,5,7,3,8,0,55.55213853523387
0,7,1,1,9,4,0,69.5098508141014
4,3,0,3,0,8,0,48.682843299249974
3,7,4,10,9,8,0,80.96459593385393
7,3,8,6,5,0,1,39.45047372640794
7,7,5,10,1,1,1,56.42537699081862
6,8,9,3,2,4,1,48.20368142566449
2,2,6,3,7,3,0,50.70804414594512
0,2,4,5,9,9,0,68.26680657421825
0,10,9,9,5,8,1,65.59603478784567
10,1,5,5,2,6,1,32.237416602290516
2,9,4,9,6,5,0,77.89448048299255
5,2,10,2,3,6,1,32.71569361549084
6,2,8,8,8,0,1,40.93540651080558
5,4,5,9,4,0,0,63.31556323215402
5,4,10,10,2,7,1,43.126635275142924
5,1,7,1,1,1,0,33.775185626312336
2,9,1,5,10,9,0,81.73982141323665
5,5,8,6,1,10,1,50.81854761905339
7,4,4,8,2,8,1,62.13744414687103
10,5,6,2,1,6,1,26.948177577285826
10,0,9,9,3,5,1,27.6554305936375
1,4,0,2,1,0,0,61.145462469195266
4,8,9,6,9,0,1,56.073233412236036
0,9,4,3,8,1,0,78.8109130397788
0,1,9,7,1,5,1,51.71686311078529
4,0,1,6,8,5,0,61.597245379975185
2,9,5,4,5,1,0,68.18290875438099
3,10,10,6,0,0,1,61.848543889848905
2,8,0,2,3,9,0,62.82187259165568
0,9,2,1,0,4,0,66.22634097671278
0,8,4,5,5,4,0,68.60598565634889
4,8,3,1,3,1,0,62.14958166282584
5,5,2,2,2,5,0,42.63329417746784
2,7,9,5,2,8,1,53.5595806720351
8,10,4,4,8,1,1,64.07619343534974
4,0,10,7,5,9,1,35.76253932513113
7,9,7,8,8,1,1,59.86904983889216
0,3,10,10,4,2,1,57.87689490686053
4,0,3,2,1,6,0,45.57548189720738
2,7,0,9,7,5,0,76.73565385706473
0,0,10,2,4,7,1,35.50775029812657
3,2,6,2,1,7,0,47.027938855201725
4,3,7,5,3,5,0,45.13512300040082
6,7,2,0,8,10,0,54.11230480077511
0,5,5,6,3,9,0,67.24342398608458
2,9,1,0,3,2,0,63.359015013838764
1,6,6,4,1,2,0,61.53710767669388
8,7,7,9,5,0,1,51.581398115101436
9,1,5,7,10,6,1,46.70202719087502
5,9,5,3,1,4,0,59.424858326943664
9,10,4,4,6,3,1,56.86869564413124
2,7,7,3,2,9,0,58.08026661039324
7,2,0,3,2,3,1,46.57226196609498
7,6,9,7,4,3,1,57.00845903200014
1,2,3,1,2,5,0,58.343893020514244
5,6,3,0,1,7,0,41.159518687831266
6,10,2,2,9,7,0,70.81121840624004
1,1,2,8,8,4,0,63.91798006949479
10,9,3,3,1,5,1,49.257534693963656
9,5,10,9,10,3,1,49.84185314655131
1,2,0,4,1,10,0,53.92306491453756
9,2,10,1,7,8,1,33.192422717651624
0,8,10,3,8,7,1,63.11651471784537
7,6,1,1,6,9,1,53.47658482163709
0,4,8,1,2,9,1,45.30945087878202
8,9,9,3,8,0,1,50.59888484883117
10,6,1,5,2,1,1,52.13962508757144
5,8,4,6,4,8,0,61.975121068208665
6,0,8,9,8,7,1,32.53740214611895
9,6,8,2,2,2,1,35.08445358121242
6,5,7,2,6,7,0,38.392589691951116
9,9,0,9,0,0,1,62.45273717175462
2,8,0,5,3,9,0,66.07717871465178
1,0,8,2,3,3,1,33.117511824602666
8,3,10,1,6,2,1,36.87560910974264
7,8,7,7,7,5,1,56.69954009527805
9,3,9,4,0,6,1,25.816689200890412
6,9,8,0,4,3,1,48.812620244142956
8,2,6,2,6,6,1,35.54704738463774
3,8,2,9,3,8,0,84.01903046063705
3,1,2,7,3,10,0,55.134901196369896
0,3,1,3,3,1,0,64.12562705991505
7,5,4,6,5,10,1,58.6547066568843
2,1,2,9,6,2,0,73.11126612803456
6,7,5,1,1,4,0,41.989969321711804
1,7,1,6,4,2,0,71.91018248080678
1,0,2,4,3,10,0,60.37295937646758
6,2,4,4,2,7,0,47.25031152026345
5,9,10,5,6,9,1,60.0758796783423
2,8,10,8,10,7,1,61.15647728220166
8,4,0,5,5,7,1,63.239998769620094
9,5,0,7,6,8,1,55.892962283575976
5,3,9,6,4,3,1,44.56146489070947
9,9,8,8,5,4,1,52.85888561204115
9,1,6,3,4,4,1,28.10758581725965
5,10,0,1,6,7,0,61.637321182894986
0,7,7,6,1,6,0,52.88075941683552
3,10,2,5,10,8,0,80.49509203026987
9,5,7,0,4,7,1,26.573404548832716
5,4,4,10,5,1,0,56.13092202456558
5,8,0,8,5,9,0,72.9098206090089
10,0,6,8,4,3,1,22.8059574987005
4,4,4,1,9,5,0,58.99489856022
0,5,5,2,6,1,0,49.15055916446596
7,4,5,4,9,6,1,51.41313804333613
4,5,7,4,7,2,0,53.87509613297145
4,5,8,0,6,2,1,47.490308600909046
6,6,1,7,4,10,0,63.29159598805053
3,3,8,7,0,1,1,56.18953981916619
5,10,10,3,4,10,1,52.3815844078425
3,7,9,6,9,7,1,66.8680619962183
2,6,8,10,1,5,1,56.182685955648566
6,8,9,9,4,0,1,56.70378403094733
7,6,9,2,4,0,1,47.33785047514463
3,2,6,5,1,6,0,44.7115243765518
1,2,0,9,4,7,0,71.26117382097615
9,7,6,9,3,4,1,57.204267245687376
2,4,9,8,0,10,1,46.088852399041826
0,3,4,0,2,4,0,40.392198333404025
7,7,5,4,0,3,1,48.277868268561846
2,5,9,3,10,5,1,61.24334584679001
9,1,6,7,4,5,1,31.742771175540142
6,3,4,10,3,2,0,58.751099486386686
9,10,6,0,6,8,1,51.78483193669769
4,3,8,8,4,10,1,39.03251870442348
9,5,2,5,9,6,1,52.01855683796613
4,5,7,3,3,0,0,45.52085609634168
6,0,1,8,1,6,0,48.50187999882382
8,7,10,10,3,4,1,44.884328676160074
4,5,6,4,1,4,0,44.41498598208909
0,2,1,4,7,1,0,74.95741445591047
9,8,3,4,2,3,1,50.46220434070546
9,1,6,0,8,5,1,29.3247816992513
0,10,2,0,3,9,0,69.79415261543726
1,7,1,7,5,10,0,79.38545416530572
5,9,10,7,9,6,1,61.55813188355604
8,2,9,5,4,10,1,33.07136204586013
7,4,6,10,9,4,1,55.749916656647734
4,5,0,3,0,8,0,53.18934577266201
0,9,7,1,8,2,0,63.5109580675732
6,5,2,1,0,0,0,47.59407300405368
4,3,1,8,7,3,0,61.629099537991074
5,2,2,4,8,8,0,57.9663461173511
6,3,4,3,8,3,0,57.964973778134144
2,0,10,9,0,1,1,43.128536789066
9,3,7,0,1,9,1,24.752072355414317
2,0,9,6,0,4,1,32.30936557472685
4,0,6,2,9,2,0,52.89053403955757
5,9,6,5,1,8,0,50.049911747005446
8,5,6,4,9,3,1,54.24281017237874
4,4,7,4,7,5,0,54.99258930297243
0,10,0,10,4,1,0,88.6161569851797
3,3,3,4,10,5,0,61.28510598109661
4,10,5,0,6,2,0,51.0214436297949
9,2,8,0,1,8,1,24.45032500406311
9,0,1,2,7,10,1,44.699631661979026
4,5,0,9,10,1,0,72.05459941926098
6,1,9,3,5,8,1,33.52089262835448
3,7,1,4,7,4,0,70.78930957504475
0,9,6,1,0,7,0,61.62286313974784
4,4,2,7,0,1,0,56.91901538061594
6,6,9,10,6,5,1,47.86840323019208
9,9,1,10,7,2,1,68.95031115268756
9,1,10,1,2,9,1,21.023128926945095
5,7,6,8,4,4,0,64.2076417101988
4,1,1,1,0,7,0,40.61181695302877
3,3,2,8,6,9,0,76.5382493727501
1,0,10,6,4,0,1,34.327634655815174
3,4,6,7,7,4,0,57.28149912471051
9,8,3,10,7,2,1,65.58483198253613
9,0,0,1,8,3,1,42.09625418223568
2,8,4,6,6,1,0,64.83928835092584
9,10,8,5,10,8,1,59.33930873875897
0,7,7,3,0,2,0,57.75547025656961
7,5,8,6,2,1,1,43.23980722990774
4,6,9,3,7,9,1,52.35921931629258
3,2,8,1,2,10,1,35.38111794275984
7,0,6,9,7,8,1,39.013185249457166
6,4,3,6,0,6,0,46.01680064973878
1,1,4,7,4,5,0,58.8852729070472
0,4,0,1,3,0,0,63.913722074231984
10,7,0,4,4,4,1,55.006895262929234
3,10,2,0,7,10,0,71.54354133992517
7,8,7,6,9,10,1,56.294269772749914
1,1,1,7,3,2,0,62.43340528555267
2,2,3,5,10,0,0,66.9604638920246
0,2,1,4,3,3,0,61.37555090748824
0,0,4,5,2,1,0,46.4833803579695
2,7,8,1,6,1,1,49.492558151722314
10,5,0,0,2,2,1,46.55426162139683
4,7,4,6,2,7,0,67.16236081471287
2,10,8,6,10,7,1,78.47641553912024
0,8,0,9,9,6,0,91.46077974871017
0,4,8,10,4,5,1,57.384336989916534
7,2,7,9,4,8,1,45.66824221613565
9,4,3,1,5,3,1,49.91127565975211
10,4,10,1,7,0,1,32.99244190228238
1,4,9,0,9,7,1,49.56261238658063
2,2,4,9,5,6,0,65.44312616420608
1,10,4,7,0,6,0,64.95302396692198
2,9,10,7,7,2,1,61.42164311075899
6,3,5,0,7,3,0,37.979043044888385
0,8,6,10,8,9,0,82.14785909174216
9,9,7,7,8,8,1,61.07051749860045
7,8,7,8,1,5,1,51.83086986400817
9,1,10,3,1,4,1,17.335351616302173
9,7,1,0,2,2,1,46.501254532326875
9,7,8,0,0,8,1,29.167100546630962
